EmployeeID,Age,Gender,MaritalStatus,Education,Department,JobRole,YearsAtCompany,YearsInCurrentRole,MonthlyIncome,JobSatisfaction,WorkLifeBalance,TrainingTimesLastYear,OverTime,DistanceFromHome,Attrition
48,51,Female,Married,High School,R&D,Technician,25,6,4800.3,5,1,8,No,20.54,Yes
49,63,Male,Married,Bachelor,Finance,Analyst,29,13,3821.45,2,3,8,No,37.79,Yes
50,49,Female,Single,Master,HR,Manager,32,7,6339.79,4,2,5,No,1.99,Yes
51,34,Male,Married,Bachelor,R&D,Sales Executive,11,17,2351.72,3,1,8,Yes,1.85,No
52,45,Male,Married,PhD,Finance,Technician,28,19,15682.99,1,3,6,No,7.73,Yes
53,54,Female,Single,PhD,Finance,Developer,5,17,4011.84,1,5,3,Yes,10.1,No
54,26,Female,Divorced,Master,HR,Developer,35,1,18181.67,4,4,9,Yes,49.47,No
55,27,Female,Single,PhD,HR,Manager,25,17,11192.74,3,5,9,Yes,13.64,Yes
56,25,Female,Married,Bachelor,Finance,Sales Executive,7,7,10225.24,1,1,3,Yes,23.42,Yes
57,63,Female,Single,Bachelor,IT,Analyst,33,3,3166.07,2,1,0,No,2.42,Yes
58,64,Male,Single,Master,R&D,Analyst,27,4,4399.96,4,1,8,No,46.59,Yes
59,55,Female,Divorced,Bachelor,Finance,Manager,21,14,17421.64,5,3,5,Yes,3.31,Yes
60,50,Female,Divorced,Master,HR,Analyst,27,12,14109.88,2,2,6,No,45.21,No
61,42,Male,Married,Master,R&D,Technician,25,7,3701.68,4,1,1,Yes,10.81,Yes
62,47,Male,Married,PhD,HR,Manager,22,14,14261.05,1,2,2,Yes,45.54,No
63,53,Male,Married,PhD,R&D,Sales Executive,11,13,4357.19,5,1,3,Yes,17.2,No
64,43,Male,Married,Bachelor,Finance,Analyst,6,17,15187.05,2,4,2,Yes,24.36,Yes
65,62,Male,Married,PhD,Sales,Technician,3,5,19002.18,3,5,9,No,35.84,Yes
66,35,Female,Single,Master,Sales,Analyst,30,8,15650.28,5,3,8,Yes,37.42,Yes
67,55,Male,Single,High School,R&D,Manager,28,11,16828.6,1,4,7,Yes,2.67,Yes
68,58,Male,Married,PhD,HR,Manager,17,15,13171.09,5,4,1,No,1.95,Yes
69,22,Male,Divorced,PhD,HR,Analyst,23,15,2066.84,1,2,8,No,16.76,No
70,53,Female,Divorced,High School,HR,Manager,34,13,16133.54,4,4,7,Yes,26.07,Yes
71,53,Male,Married,Bachelor,Finance,Developer,21,7,9273.86,2,3,3,Yes,43.8,No
72,45,Female,Single,Master,R&D,Manager,5,17,17714.83,4,1,2,Yes,9.87,Yes
73,42,Female,Divorced,High School,Finance,Sales Executive,15,18,12310.37,5,5,3,Yes,19.26,Yes
74,33,Female,Divorced,High School,Sales,Analyst,2,12,5448.16,4,3,1,Yes,22.33,No
75,41,Female,Divorced,Master,Sales,Developer,24,15,2987.64,2,5,7,No,24.9,No
76,58,Female,Divorced,High School,HR,Analyst,10,5,11991.63,5,4,5,No,35.54,Yes
77,41,Male,Single,High School,HR,Manager,20,19,12203.49,4,3,9,No,45.59,Yes
78,23,Female,Single,PhD,R&D,Developer,35,8,17481.22,4,2,0,Yes,7.33,Yes
79,35,Female,Divorced,Bachelor,Sales,Analyst,21,4,2697.54,4,5,6,No,24.04,Yes
80,38,Male,Single,Bachelor,R&D,Manager,30,5,16782.65,3,2,3,Yes,49.26,Yes
81,45,Male,Single,PhD,Sales,Manager,29,8,9301.4,5,5,3,Yes,30.36,Yes
82,51,Female,Married,PhD,IT,Analyst,35,19,11510.08,2,4,4,Yes,42.58,Yes
83,36,Male,Married,Master,R&D,Analyst,38,19,11601.03,5,5,7,No,44.6,No
84,55,Female,Married,Master,IT,Analyst,26,2,8881.87,5,1,9,No,4.48,Yes
85,29,Male,Married,High School,Finance,Developer,20,6,5348.03,4,1,1,No,24.57,No
86,63,Female,Divorced,Bachelor,Sales,Developer,36,18,3418.81,1,5,6,No,48.13,Yes
87,24,Female,Married,Master,IT,Sales Executive,18,17,5725.83,4,5,8,Yes,8.31,No
88,32,Female,Married,High School,Finance,Developer,22,17,14856.76,1,4,7,Yes,10.23,Yes
89,48,Male,Single,Bachelor,R&D,Manager,13,17,14280.7,3,1,9,No,25.8,Yes
90,30,Male,Divorced,Master,IT,Developer,15,15,14157.58,3,2,9,No,7.53,No
91,36,Male,Single,Bachelor,IT,Analyst,16,7,18338.41,1,3,1,No,43.14,Yes
92,53,Male,Single,High School,Finance,Analyst,25,5,10223.68,4,2,3,No,38.38,No
93,32,Female,Single,PhD,IT,Developer,3,19,15664.47,4,3,0,Yes,42.63,Yes
94,24,Male,Married,High School,Finance,Manager,5,7,14027.88,5,3,3,No,20.86,Yes
95,47,Male,Divorced,PhD,Sales,Sales Executive,27,2,18866.68,5,3,4,Yes,32.7,No
96,28,Female,Married,PhD,Sales,Analyst,39,15,14056.41,3,5,5,No,17.03,No
97,49,Female,Divorced,High School,Sales,Technician,33,14,5244.02,5,1,1,Yes,4.1,Yes
98,60,Male,Single,PhD,IT,Sales Executive,38,6,15396.46,5,4,4,Yes,38.97,Yes
99,25,Female,Divorced,Bachelor,IT,Technician,4,7,8443.56,5,4,4,No,48.61,No
100,51,Male,Single,Master,HR,Technician,38,9,6589.82,3,4,3,No,15.01,No
101,59,Male,Married,Master,HR,Technician,2,2,7006.78,5,1,7,No,15.09,Yes
102,35,Male,Single,High School,Finance,Analyst,19,1,16851.42,1,5,9,No,11.12,No
103,57,Female,Married,High School,IT,Analyst,18,18,10151.32,2,4,6,Yes,21.9,Yes
104,52,Female,Married,High School,Finance,Technician,11,12,10443.8,2,5,1,Yes,19.41,No
105,40,Female,Married,High School,R&D,Technician,35,7,2192.33,5,2,7,Yes,44.36,No
106,33,Female,Single,Bachelor,IT,Sales Executive,11,11,6862.78,5,1,7,Yes,39.72,Yes
107,36,Female,Married,High School,R&D,Analyst,33,12,17900.8,5,2,4,Yes,44.15,No
108,30,Male,Divorced,High School,IT,Technician,2,18,10965.24,1,1,6,No,46.05,No
109,48,Male,Divorced,Master,Sales,Manager,1,5,9494.9,3,5,3,Yes,34.28,No
110,41,Female,Divorced,Bachelor,Finance,Analyst,33,1,3331.6,2,5,4,Yes,32.52,Yes
111,49,Male,Divorced,High School,HR,Analyst,13,1,7281.36,4,2,2,Yes,23.84,Yes
112,46,Male,Married,Bachelor,Sales,Manager,27,9,4361.68,5,1,3,No,5.06,Yes
113,37,Female,Divorced,High School,HR,Technician,1,1,4959.31,4,4,3,No,22.87,Yes
114,39,Female,Single,Bachelor,IT,Developer,29,12,8098.73,1,4,6,Yes,18.77,No
115,57,Female,Divorced,High School,R&D,Analyst,22,17,3207.69,3,3,9,No,19.54,Yes
116,25,Male,Divorced,High School,R&D,Technician,39,16,16009.05,4,2,9,No,25.57,Yes
117,42,Female,Single,Bachelor,Sales,Manager,20,17,13193.45,5,5,9,No,26.84,No
118,48,Male,Single,High School,HR,Manager,2,7,16395.36,5,2,0,Yes,11.58,Yes
119,22,Female,Divorced,High School,Finance,Analyst,17,3,8261.2,1,4,6,No,14.47,Yes
120,26,Female,Married,Bachelor,Finance,Manager,5,9,5998.95,5,3,4,No,10.96,No
121,31,Female,Single,Master,Finance,Manager,26,3,12619.94,4,1,7,Yes,37.08,No
122,42,Female,Married,PhD,HR,Technician,13,16,2395.02,3,4,7,No,48.25,No
123,31,Female,Married,Master,R&D,Manager,34,16,3602.41,5,4,5,No,12.99,Yes
124,47,Male,Divorced,High School,R&D,Developer,30,10,15346.31,5,2,2,No,43.32,Yes
125,37,Male,Married,Bachelor,Sales,Technician,2,8,17973.0,4,1,1,Yes,36.78,No
126,59,Female,Married,Master,HR,Technician,12,16,5698.59,3,4,8,Yes,16.0,No
127,24,Female,Married,Bachelor,IT,Analyst,22,16,16237.88,4,3,7,No,26.72,No
128,41,Male,Divorced,Master,IT,Technician,38,6,8905.88,1,5,9,No,30.89,Yes
129,26,Female,Single,PhD,Finance,Analyst,13,4,9486.71,5,4,4,Yes,38.8,Yes
130,27,Female,Divorced,High School,R&D,Manager,25,15,17912.35,2,2,9,Yes,27.67,No
131,46,Male,Single,Bachelor,R&D,Sales Executive,39,3,13178.73,1,4,2,No,33.13,Yes
132,46,Male,Married,High School,HR,Developer,37,17,16614.66,2,2,6,No,16.71,No
133,33,Male,Single,High School,HR,Developer,21,15,15963.8,4,1,1,No,7.04,Yes
134,22,Male,Single,PhD,Sales,Manager,18,9,12333.66,2,4,4,Yes,3.94,Yes
135,63,Male,Single,PhD,HR,Sales Executive,19,13,15461.45,3,3,3,Yes,15.3,No
136,24,Female,Single,High School,Sales,Technician,13,1,14747.75,5,4,4,Yes,33.72,Yes
137,42,Male,Married,Bachelor,Finance,Sales Executive,25,12,10645.1,3,5,9,Yes,5.37,Yes
138,26,Male,Single,PhD,Finance,Technician,16,17,4733.08,3,3,4,No,37.2,Yes
139,36,Male,Single,PhD,R&D,Technician,29,14,6794.78,4,5,0,No,20.95,No
140,25,Male,Married,PhD,R&D,Technician,16,1,8774.75,3,4,9,Yes,23.94,Yes
141,40,Male,Single,Master,R&D,Sales Executive,22,10,12560.4,2,3,7,Yes,11.44,No
142,38,Female,Divorced,PhD,IT,Manager,12,14,7359.98,1,3,1,Yes,35.17,No
143,29,Female,Single,High School,Sales,Technician,26,15,5696.57,1,5,8,No,48.55,No
144,58,Male,Divorced,Bachelor,Finance,Manager,28,11,2639.88,1,1,3,No,20.65,Yes
145,45,Female,Divorced,Master,Sales,Technician,28,19,5825.44,2,5,7,No,6.66,No
146,25,Female,Divorced,PhD,IT,Manager,23,11,11703.42,5,3,9,No,1.84,No
147,45,Female,Married,High School,IT,Manager,39,19,4513.18,2,4,2,No,43.44,Yes
148,40,Female,Divorced,Master,Finance,Manager,30,11,2528.4,1,4,4,No,35.56,No
149,45,Female,Divorced,Master,Finance,Analyst,36,19,3344.46,5,1,0,Yes,42.47,Yes
150,62,Male,Married,Bachelor,R&D,Sales Executive,38,7,19137.9,4,4,5,No,20.24,No
151,42,Female,Married,PhD,IT,Technician,14,7,2638.5,2,3,7,Yes,32.03,Yes
152,38,Male,Divorced,Bachelor,R&D,Technician,31,6,10502.02,3,4,3,Yes,20.0,No
153,29,Male,Married,Bachelor,Finance,Analyst,12,9,14388.93,3,3,0,No,17.1,Yes
154,52,Female,Single,Master,IT,Manager,11,18,6016.09,3,4,9,Yes,29.93,No
155,40,Male,Divorced,PhD,IT,Manager,4,6,19355.33,2,1,9,Yes,11.7,No
156,32,Male,Divorced,Master,HR,Technician,25,14,2408.66,4,4,7,No,36.72,No
157,44,Female,Single,Bachelor,IT,Developer,25,9,17841.67,5,2,5,No,32.05,Yes
158,58,Male,Married,Master,R&D,Technician,20,3,9046.97,2,2,9,Yes,20.92,Yes
159,49,Female,Single,Master,HR,Technician,8,3,8909.04,2,3,7,No,14.98,No
160,44,Female,Single,Master,IT,Analyst,24,8,10499.78,2,3,1,Yes,18.63,Yes
161,33,Male,Married,Bachelor,HR,Manager,18,12,19485.25,5,4,5,Yes,16.26,Yes
162,37,Female,Married,High School,IT,Sales Executive,38,18,13305.54,4,2,1,Yes,18.7,Yes
163,37,Female,Divorced,High School,Sales,Technician,9,1,17814.32,2,4,5,No,1.78,Yes
164,35,Female,Divorced,Bachelor,R&D,Technician,24,19,2500.86,1,3,5,Yes,17.68,Yes
165,28,Female,Divorced,PhD,R&D,Sales Executive,5,12,18144.92,5,5,9,Yes,27.5,No
166,42,Female,Married,Master,HR,Analyst,13,16,5842.3,4,2,6,No,24.64,No
167,42,Female,Divorced,Bachelor,Sales,Developer,21,9,7669.25,1,2,0,Yes,7.92,Yes
168,62,Female,Single,High School,HR,Analyst,9,6,3324.94,2,5,0,No,47.4,No
169,56,Male,Divorced,Bachelor,HR,Technician,2,6,18471.35,1,5,0,Yes,10.04,No
170,45,Female,Married,High School,Finance,Analyst,1,7,11469.87,3,2,4,No,29.32,Yes
171,22,Female,Married,PhD,HR,Sales Executive,8,14,3621.35,4,2,0,Yes,19.2,Yes
172,35,Female,Divorced,High School,IT,Analyst,24,16,9153.87,4,2,2,Yes,33.99,Yes
173,41,Male,Married,PhD,Finance,Technician,34,3,8861.04,3,3,0,Yes,22.35,Yes
174,49,Male,Married,PhD,Finance,Sales Executive,10,1,2914.88,1,2,6,Yes,3.01,No
175,39,Female,Divorced,PhD,HR,Sales Executive,1,17,8257.25,4,1,7,No,32.06,No
176,24,Female,Divorced,Bachelor,Finance,Technician,35,1,7272.15,2,2,3,No,46.36,No
177,48,Female,Single,Bachelor,R&D,Technician,26,5,18550.37,3,5,8,Yes,43.61,Yes
178,27,Male,Married,PhD,Finance,Technician,4,17,16522.1,4,1,7,Yes,17.09,Yes
179,25,Male,Divorced,High School,Finance,Developer,31,5,4881.59,4,5,6,Yes,16.93,No
180,22,Female,Single,Master,IT,Technician,5,11,18768.03,5,5,8,Yes,29.79,Yes
181,42,Male,Married,Master,R&D,Analyst,23,3,15376.93,1,4,9,Yes,10.64,Yes
182,56,Female,Married,High School,Finance,Manager,34,10,10835.25,3,2,2,Yes,31.76,Yes
183,49,Female,Single,Master,IT,Developer,15,14,9787.9,4,2,1,No,40.26,No
184,39,Female,Married,High School,R&D,Developer,3,19,18683.19,3,2,9,No,10.97,Yes
185,56,Male,Divorced,High School,Finance,Manager,19,11,7499.21,2,5,4,Yes,47.94,Yes
186,42,Male,Single,PhD,HR,Analyst,39,1,8670.62,5,1,9,No,25.66,No
187,37,Male,Single,High School,Finance,Developer,39,12,14440.98,1,2,8,Yes,11.67,Yes
188,47,Female,Divorced,Bachelor,R&D,Developer,27,2,15667.16,1,2,1,No,4.28,Yes
189,60,Female,Single,Bachelor,Finance,Technician,22,1,7889.02,2,1,1,Yes,15.04,No
190,30,Male,Divorced,Bachelor,R&D,Sales Executive,15,15,18596.14,4,1,4,No,24.2,No
191,44,Female,Divorced,High School,HR,Developer,15,13,6609.9,5,2,8,Yes,24.45,Yes
192,23,Male,Married,Bachelor,Finance,Analyst,32,13,8254.98,1,4,8,Yes,11.02,No
193,24,Male,Married,PhD,R&D,Sales Executive,31,13,5538.32,3,2,9,No,13.65,Yes
194,54,Female,Married,PhD,IT,Manager,39,17,11667.57,2,2,3,Yes,34.24,Yes
195,45,Male,Married,Master,Finance,Developer,17,6,19986.91,1,5,8,No,38.97,No
196,44,Female,Married,Master,HR,Analyst,13,12,14924.98,4,3,0,No,6.28,Yes
197,27,Female,Divorced,PhD,IT,Manager,38,15,10483.71,5,2,8,No,33.63,Yes
198,42,Female,Single,Bachelor,Finance,Technician,37,3,19692.68,1,5,6,Yes,45.9,Yes
199,26,Male,Single,PhD,R&D,Technician,16,6,2885.14,4,3,8,Yes,2.73,No
200,34,Male,Married,Bachelor,Sales,Sales Executive,28,3,7146.23,4,5,9,No,31.04,No
201,61,Male,Divorced,High School,IT,Manager,34,12,17086.11,2,5,4,Yes,29.55,Yes
202,34,Male,Divorced,Bachelor,R&D,Sales Executive,32,11,11438.49,4,4,5,Yes,12.55,Yes
203,40,Female,Divorced,Bachelor,IT,Manager,24,6,2084.54,2,1,0,Yes,41.41,Yes
204,30,Male,Single,Bachelor,Finance,Manager,37,11,10221.55,3,1,1,No,1.32,Yes
205,24,Male,Divorced,High School,HR,Technician,5,17,2392.71,2,5,0,No,46.53,Yes
206,52,Female,Married,PhD,HR,Sales Executive,23,4,12322.75,1,1,0,Yes,30.31,Yes
207,60,Female,Divorced,Master,IT,Technician,21,11,13389.35,2,2,6,Yes,25.06,No
208,34,Female,Married,High School,Sales,Manager,1,13,5625.35,5,4,2,Yes,37.27,Yes
209,62,Female,Single,Bachelor,Finance,Technician,13,16,19756.95,3,4,0,No,47.17,No
210,32,Male,Single,Bachelor,R&D,Sales Executive,8,6,17008.47,2,1,0,Yes,41.27,Yes
211,62,Female,Divorced,Master,Finance,Sales Executive,1,6,10348.99,3,1,6,No,28.82,No
212,32,Male,Single,Bachelor,Sales,Analyst,15,17,7571.96,2,4,4,Yes,7.18,No
213,22,Male,Single,PhD,R&D,Technician,10,3,2222.1,4,5,0,No,19.65,No
214,56,Male,Divorced,High School,Sales,Analyst,1,7,14478.73,4,5,7,No,43.78,No
215,56,Female,Single,High School,Finance,Manager,14,1,6731.9,1,5,5,Yes,42.71,No
216,24,Female,Married,High School,Finance,Technician,37,12,9103.8,4,2,4,Yes,21.57,No
217,25,Male,Divorced,High School,IT,Developer,21,18,9715.2,5,5,5,No,24.18,Yes
218,45,Male,Married,PhD,Sales,Analyst,1,13,17368.68,4,5,7,No,34.53,Yes
219,51,Female,Single,PhD,HR,Sales Executive,27,3,17325.31,5,1,8,Yes,22.53,No
220,53,Female,Divorced,Bachelor,Sales,Analyst,31,6,15971.94,2,3,8,Yes,5.38,No
221,41,Male,Married,High School,Sales,Technician,7,14,15802.38,2,5,2,No,36.75,No
222,57,Male,Divorced,Bachelor,R&D,Analyst,18,14,10905.37,5,5,0,No,32.85,Yes
223,34,Female,Married,High School,R&D,Sales Executive,36,9,16240.14,1,3,9,Yes,10.73,No
224,60,Female,Married,PhD,IT,Analyst,24,13,17446.56,4,5,5,Yes,40.34,Yes
225,25,Male,Divorced,Master,HR,Analyst,38,1,10971.9,5,3,6,Yes,41.01,Yes
226,49,Female,Married,Master,Finance,Developer,35,4,18207.04,4,3,5,Yes,13.11,No
227,61,Female,Divorced,High School,HR,Manager,4,13,19826.85,3,5,4,Yes,7.93,No
228,64,Female,Single,PhD,HR,Sales Executive,2,6,5155.08,1,2,9,Yes,10.62,No
229,28,Male,Married,Master,HR,Manager,35,1,19622.58,2,5,4,Yes,25.17,Yes
230,30,Female,Married,Master,IT,Developer,18,14,6423.37,5,2,9,No,16.65,No
231,43,Female,Married,Master,IT,Technician,2,1,18812.56,3,5,2,Yes,34.0,Yes
232,25,Female,Married,PhD,HR,Technician,27,10,17319.96,5,2,3,Yes,26.54,No
233,57,Female,Single,Master,Finance,Developer,7,17,18489.02,5,5,9,Yes,33.89,No
234,54,Female,Divorced,Bachelor,Finance,Technician,31,19,10298.56,5,4,2,No,11.82,No
235,27,Female,Divorced,High School,Finance,Technician,34,17,4719.11,5,4,8,Yes,29.97,No
236,24,Female,Divorced,Master,IT,Analyst,7,7,6007.18,2,3,2,No,44.28,No
237,56,Female,Single,PhD,R&D,Analyst,29,9,7484.5,2,1,4,Yes,29.6,No
238,54,Male,Single,Bachelor,Finance,Analyst,8,12,6494.94,2,4,5,Yes,34.75,Yes
239,28,Male,Divorced,Master,R&D,Developer,33,13,19412.88,1,4,7,No,47.56,Yes
240,62,Female,Divorced,Bachelor,HR,Technician,3,2,4809.27,2,5,9,Yes,44.44,Yes
241,56,Male,Single,PhD,Finance,Manager,32,12,14344.27,4,1,5,No,12.02,Yes
242,24,Female,Single,High School,HR,Sales Executive,19,19,11208.79,2,5,5,No,41.0,No
243,64,Female,Married,Bachelor,HR,Technician,4,17,2615.72,5,5,5,No,49.02,Yes
244,39,Male,Divorced,High School,Sales,Developer,10,2,5808.53,5,3,0,Yes,39.65,No
245,24,Male,Divorced,PhD,HR,Analyst,18,2,18804.26,4,5,9,No,7.31,No
246,60,Female,Divorced,Bachelor,HR,Sales Executive,19,6,16702.84,3,5,5,No,31.39,No
247,48,Female,Divorced,PhD,IT,Sales Executive,12,7,12547.21,5,3,0,No,32.99,Yes
248,30,Female,Divorced,Bachelor,HR,Sales Executive,11,5,3381.18,5,5,1,Yes,8.22,Yes
249,38,Male,Married,PhD,Finance,Manager,32,12,4493.67,2,1,7,No,28.2,No
250,62,Male,Single,PhD,IT,Analyst,6,11,15150.84,2,3,7,Yes,46.24,Yes
251,63,Female,Married,Master,Sales,Analyst,38,10,15627.06,5,4,1,Yes,15.48,Yes
252,26,Female,Married,Master,Sales,Analyst,28,17,19245.76,4,5,2,Yes,40.56,No
253,25,Female,Divorced,PhD,HR,Analyst,26,8,5700.68,5,1,5,No,32.53,No
254,35,Male,Married,Bachelor,R&D,Technician,8,10,13683.16,2,2,3,No,34.05,Yes
255,50,Female,Married,Bachelor,Sales,Sales Executive,10,12,9755.12,2,3,8,Yes,15.68,Yes
256,32,Female,Divorced,Bachelor,Sales,Sales Executive,22,2,4049.32,2,3,6,No,38.09,Yes
257,43,Female,Married,PhD,Sales,Sales Executive,34,8,8050.77,4,5,9,No,32.2,Yes
258,63,Male,Married,High School,Finance,Developer,22,6,8614.01,5,5,8,No,26.68,Yes
259,26,Female,Single,Bachelor,R&D,Analyst,22,1,10162.04,2,3,6,Yes,25.04,Yes
260,33,Female,Divorced,High School,HR,Technician,6,13,7274.6,3,5,5,No,16.04,No
261,42,Male,Divorced,High School,HR,Technician,31,14,11947.98,2,5,3,No,10.9,Yes
262,36,Male,Married,PhD,IT,Developer,36,10,12916.19,1,1,7,Yes,38.59,Yes
263,45,Male,Divorced,High School,Finance,Developer,11,9,9430.33,3,1,5,Yes,10.77,Yes
264,34,Male,Single,High School,R&D,Sales Executive,18,11,8721.07,2,1,9,No,9.2,No
265,53,Female,Married,High School,IT,Sales Executive,34,16,13799.16,1,4,4,Yes,42.71,No
266,47,Male,Single,High School,R&D,Sales Executive,3,8,2975.66,4,3,5,No,4.92,No
267,61,Male,Married,PhD,Sales,Sales Executive,38,15,17595.37,1,3,5,No,8.51,Yes
268,47,Female,Married,PhD,R&D,Sales Executive,36,14,19543.38,5,5,1,No,5.46,No
269,57,Male,Divorced,High School,IT,Analyst,17,4,2995.56,5,5,2,Yes,47.95,No
270,51,Male,Divorced,PhD,Finance,Technician,30,12,14765.24,4,3,9,Yes,6.14,Yes
271,30,Female,Married,Bachelor,Finance,Analyst,30,17,6540.28,4,5,8,No,1.29,Yes
272,45,Female,Single,High School,Sales,Technician,31,18,9740.33,4,1,7,No,31.01,Yes
273,59,Female,Married,Bachelor,HR,Manager,32,5,6871.57,1,2,7,Yes,35.96,No
274,39,Female,Married,Bachelor,IT,Manager,19,8,5856.44,1,4,0,Yes,9.71,Yes
275,30,Male,Married,High School,HR,Manager,9,5,9937.71,4,1,8,No,18.09,Yes
276,43,Female,Single,Bachelor,Sales,Technician,16,3,8688.95,1,1,3,No,16.18,Yes
277,59,Female,Divorced,PhD,R&D,Developer,38,16,9664.24,5,5,1,Yes,36.47,No
278,42,Female,Divorced,Bachelor,R&D,Analyst,19,2,16545.51,2,4,6,No,20.31,Yes
279,28,Male,Single,High School,Sales,Developer,30,4,19615.67,3,2,5,No,26.9,Yes
280,33,Female,Divorced,Bachelor,Finance,Technician,36,3,4579.97,4,2,8,No,39.04,No
281,57,Male,Married,PhD,IT,Sales Executive,11,12,15393.75,5,5,1,No,25.17,Yes
282,32,Male,Divorced,Bachelor,Sales,Developer,15,9,11883.82,1,4,5,No,36.55,No
283,24,Female,Divorced,PhD,Sales,Technician,24,19,8714.33,3,1,7,No,28.76,Yes
284,48,Male,Single,Master,IT,Manager,21,13,13890.32,4,1,5,Yes,35.92,No
285,28,Female,Single,Master,Finance,Sales Executive,10,14,17867.47,1,3,7,Yes,5.44,No
